#docid	origin	tok_id	sent_id	text	pos	morph	lemma	start_char	end_char	head	head_txt	deprel	spacy_sent_tok_idx
demo_spacy_fr	spacy	0	0	S\'	SCONJ		se	0	2	5	prudent	mark	0	
demo_spacy_fr	spacy	1	0	il	PRON	Gender=Masc|Number=Sing|Person=3	il	2	4	5	prudent	nsubj	1	
demo_spacy_fr	spacy	2	0	avait	AUX	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	avoir	5	10	5	prudent	aux:tense	2	
demo_spacy_fr	spacy	3	0	été	AUX	Tense=Past|VerbForm=Part	être	11	14	5	prudent	cop	3	
demo_spacy_fr	spacy	4	0	plus	ADV		plus	15	19	5	prudent	advmod	4	
demo_spacy_fr	spacy	5	0	prudent	ADJ	Gender=Masc|Number=Sing	prudent	20	27	10	dû	nsubj	5	
demo_spacy_fr	spacy	6	0	nous	PRON	Number=Plur|Person=1	nous	28	32	8	aurions	nsubj	6	
demo_spacy_fr	spacy	7	0	n\'	ADV	Polarity=Neg	ne	33	35	8	aurions	advmod	7	
demo_spacy_fr	spacy	8	0	aurions	VERB	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	avoir	35	42	10	dû	aux:tense	8	
demo_spacy_fr	spacy	9	0	pas	ADV	Polarity=Neg	pas	43	46	10	dû	advmod	9	
demo_spacy_fr	spacy	10	0	dû	VERB	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	devoir	47	49	10	dû	ROOT	10	
demo_spacy_fr	spacy	11	0	faire	VERB	VerbForm=Inf	faire	50	55	12	prendre	dep	11	
demo_spacy_fr	spacy	12	0	prendre	VERB	VerbForm=Inf	prendre	56	63	10	dû	xcomp	12	
demo_spacy_fr	spacy	13	0	une	DET	Definite=Ind|Gender=Fem|Number=Sing|PronType=Art	un	64	67	14	vraiment	det	13	
demo_spacy_fr	spacy	14	0	vraiment	ADV		vraiment	68	76	17	assurance	nsubj	14	
demo_spacy_fr	spacy	15	0	très	ADV		très	77	81	16	bonne	advmod	15	
demo_spacy_fr	spacy	16	0	bonne	ADJ	Gender=Fem|Number=Sing	bon	82	87	17	assurance	amod	16	
demo_spacy_fr	spacy	17	0	assurance	NOUN	Gender=Fem|Number=Sing	assurance	88	97	12	prendre	ccomp	17	
demo_spacy_fr	spacy	18	0	à	ADP		à	98	99	19	Paul	case	18	
demo_spacy_fr	spacy	19	0	Paul	PROPN	Gender=Masc|Number=Sing	Paul	100	104	17	assurance	nmod	19	
demo_spacy_fr	spacy	20	0	.	PUNCT		.	104	105	10	dû	punct	20	
